root 3rd 5th 7th 9th 11th 13th name dissonance
0 1 3 1 1 0 2 "Csus2 #5 7 b9 13" 13
0 1 3 1 1 1 0 "Csus2 #5 7 b9 11" 9
0 1 3 1 1 1 2 "Csus2 #5 7 b9 11 13" 13
0 1 3 2 0 0 0 "Csus2 #5 maj7" 5
0 1 3 2 0 0 2 "Csus2 #5 maj7 13" 8
0 1 3 2 0 1 0 "Csus2 #5 maj7 11" 7
0 1 3 2 0 1 2 "Csus2 #5 maj7 11 13" 10
0 1 3 2 1 0 0 "Csus2 #5 maj7 b9" 10
0 1 3 2 1 0 2 "Csus2 #5 maj7 b9 13" 13
0 1 3 2 1 1 0 "Csus2 #5 maj7 b9 11" 12
0 1 3 2 1 1 2 "Csus2 #5 maj7 b9 11 13" 15
0 2 1 0 0 0 0 "Cm b5" 2
0 2 1 0 0 0 1 "Cm b5 b13" 3
0 2 1 0 0 0 2 "Cm b5 13" 4
0 2 1 0 0 1 0 "Cm b5 11" 5
0 2 1 0 0 1 1 "Cm b5 11 b13" 6
0 2 1 0 0 1 2 "Cm b5 11 13" 7
0 2 1 0 1 0 0 "Cm b5 b9" 5
0 2 1 0 1 0 1 "Cm b5 b9 b13" 6
0 2 1 0 1 0 2 "Cm b5 b9 13" 7
0 2 1 0 1 1 0 "Cm b5 b9 11" 8
0 2 1 0 1 1 1 "Cm b5 b9 11 b13" 9
0 2 1 0 1 1 2 "Cm b5 b9 11 13" 10
0 2 1 0 2 0 0 "Cm b5 9" 5
0 2 1 0 2 0 1 "Cm b5 9 b13" 8
0 2 1 0 2 0 2 "Cm b5 9 13" 7
0 2 1 0 2 1 0 "Cm b5 9 11" 8
0 2 1 0 2 1 1 "Cm b5 9 11 b13" 11
0 2 1 0 2 1 2 "Cm b5 9 11 13" 10
0 2 1 1 0 0 0 "Cm b5 7" 3
0 2 1 1 0 0 1 "Cm b5 7 b13" 5
0 2 1 1 0 0 2 "Cm b5 7 13" 7
0 2 1 1 0 1 0 "Cm b5 7 11" 6
0 2 1 1 0 1 1 "Cm b5 7 11 b13" 8
0 2 1 1 0 1 2 "Cm b5 7 11 13" 10
0 2 1 1 1 0 0 "Cm b5 7 b9" 6
0 2 1 1 1 0 1 "Cm b5 7 b9 b13" 8
0 2 1 1 1 0 2 "Cm b5 7 b9 13" 10
0 2 1 1 1 1 0 "Cm b5 7 b9 11" 9
0 2 1 1 1 1 1 "Cm b5 7 b9 11 b13" 11
0 2 1 1 1 1 2 "Cm b5 7 b9 11 13" 13
0 2 1 1 2 0 0 "Cm b5 7 9" 6
0 2 1 1 2 0 1 "Cm b5 7 9 b13" 10
0 2 1 1 2 0 2 "Cm b5 7 9 13" 10
0 2 1 1 2 1 0 "Cm b5 7 9 11" 9
0 2 1 1 2 1 1 "Cm b5 7 9 11 b13" 13
0 2 1 1 2 1 2 "Cm b5 7 9 11 13" 13
0 2 1 2 0 0 0 "Cm b5 maj7" 4
0 2 1 2 0 0 1 "Cm b5 maj7 b13" 5
0 2 1 2 0 0 2 "Cm b5 maj7 13" 7
0 2 1 2 0 1 0 "Cm b5 maj7 11" 9
0 2 1 2 0 1 1 "Cm b5 maj7 11 b13" 10
0 2 1 2 0 1 2 "Cm b5 maj7 11 13" 12
0 2 1 2 1 0 0 "Cm b5 maj7 b9" 8
0 2 1 2 1 0 1 "Cm b5 maj7 b9 b13" 9
0 2 1 2 1 0 2 "Cm b5 maj7 b9 13" 11
0 2 1 2 1 1 0 "Cm b5 maj7 b9 11" 13
0 2 1 2 1 1 1 "Cm b5 maj7 b9 11 b13" 14
0 2 1 2 1 1 2 "Cm b5 maj7 b9 11 13" 16
0 2 1 2 2 0 0 "Cm b5 maj7 9" 7
0 2 1 2 2 0 1 "Cm b5 maj7 9 b13" 10
0 2 1 2 2 0 2 "Cm b5 maj7 9 13" 10
0 2 1 2 2 1 0 "Cm b5 maj7 9 11" 12
0 2 1 2 2 1 1 "Cm b5 maj7 9 11 b13" 15
0 2 1 2 2 1 2 "Cm b5 maj7 9 11 13" 15
0 2 2 0 0 0 0 Cm 0
0 2 2 0 0 0 1 "Cm b13" 2
0 2 2 0 0 0 2 "Cm 13" 3
0 2 2 0 0 1 0 "Cm 11" 2
0 2 2 0 0 1 1 "Cm 11 b13" 4
0 2 2 0 0 1 2 "Cm 11 13" 5
0 2 2 0 0 2 0 "Cm #11" 4
0 2 2 0 0 2 1 "Cm #11 b13" 7
0 2 2 0 0 2 2 "Cm #11 13" 7
0 2 2 0 1 0 0 "Cm b9" 5
0 2 2 0 1 0 1 "Cm b9 b13" 7
0 2 2 0 1 0 2 "Cm b9 13" 8
0 2 2 0 1 1 0 "Cm b9 11" 7
0 2 2 0 1 1 1 "Cm b9 11 b13" 9
0 2 2 0 1 1 2 "Cm b9 11 13" 10
0 2 2 0 1 2 0 "Cm b9 #11" 9
0 2 2 0 1 2 1 "Cm b9 #11 b13" 12
0 2 2 0 1 2 2 "Cm b9 #11 13" 12
0 2 2 0 2 0 0 "Cm 9" 3
0 2 2 0 2 0 1 "Cm 9 b13" 7
0 2 2 0 2 0 2 "Cm 9 13" 6
0 2 2 0 2 1 0 "Cm 9 11" 5
0 2 2 0 2 1 1 "Cm 9 11 b13" 9
0 2 2 0 2 1 2 "Cm 9 11 13" 8
0 2 2 0 2 2 0 "Cm 9 #11" 7
0 2 2 0 2 2 1 "Cm 9 #11 b13" 12
0 2 2 0 2 2 2 "Cm 9 #11 13" 10
0 2 2 1 0 0 0 "Cm 7" 1
0 2 2 1 0 0 1 "Cm 7 b13" 4
0 2 2 1 0 0 2 "Cm 7 13" 6
0 2 2 1 0 1 0 "Cm 7 11" 3
0 2 2 1 0 1 1 "Cm 7 11 b13" 6
0 2 2 1 0 1 2 "Cm 7 11 13" 8
0 2 2 1 0 2 0 "Cm 7 #11" 5
0 2 2 1 0 2 1 "Cm 7 #11 b13" 9
0 2 2 1 0 2 2 "Cm 7 #11 13" 10
0 2 2 1 1 0 0 "Cm 7 b9" 6
0 2 2 1 1 0 1 "Cm 7 b9 b13" 9
0 2 2 1 1 0 2 "Cm 7 b9 13" 11
0 2 2 1 1 1 0 "Cm 7 b9 11" 8
0 2 2 1 1 1 1 "Cm 7 b9 11 b13" 11
0 2 2 1 1 1 2 "Cm 7 b9 11 13" 13
0 2 2 1 1 2 0 "Cm 7 b9 #11" 10
0 2 2 1 1 2 1 "Cm 7 b9 #11 b13" 14
0 2 2 1 1 2 2 "Cm 7 b9 #11 13" 15
0 2 2 1 2 0 0 "Cm 7 9" 4
0 2 2 1 2 0 1 "Cm 7 9 b13" 9
0 2 2 1 2 0 2 "Cm 7 9 13" 9
0 2 2 1 2 1 0 "Cm 7 9 11" 6
0 2 2 1 2 1 1 "Cm 7 9 11 b13" 11
0 2 2 1 2 1 2 "Cm 7 9 11 13" 11
0 2 2 1 2 2 0 "Cm 7 9 #11" 8
0 2 2 1 2 2 1 "Cm 7 9 #11 b13" 14
0 2 2 1 2 2 2 "Cm 7 9 #11 13" 13
0 2 2 2 0 0 0 "Cm maj7" 2
0 2 2 2 0 0 1 "Cm maj7 b13" 4
0 2 2 2 0 0 2 "Cm maj7 13" 6
0 2 2 2 0 1 0 "Cm maj7 11" 6
0 2 2 2 0 1 1 "Cm maj7 11 b13" 8
0 2 2 2 0 1 2 "Cm maj7 11 13" 10
0 2 2 2 0 2 0 "Cm maj7 #11" 6
0 2 2 2 0 2 1 "Cm maj7 #11 b13" 9
0 2 2 2 0 2 2 "Cm maj7 #11 13" 10
0 2 2 2 1 0 0 "Cm maj7 b9" 8
0 2 2 2 1 0 1 "Cm maj7 b9 b13" 10
0 2 2 2 1 0 2 "Cm maj7 b9 13" 12
0 2 2 2 1 1 0 "Cm maj7 b9 11" 12
0 2 2 2 1 1 1 "Cm maj7 b9 11 b13" 14
0 2 2 2 1 1 2 "Cm maj7 b9 11 13" 16
0 2 2 2 1 2 0 "Cm maj7 b9 #11" 12
0 2 2 2 1 2 1 "Cm maj7 b9 #11 b13" 15
0 2 2 2 1 2 2 "Cm maj7 b9 #11 13" 16
0 2 2 2 2 0 0 "Cm maj7 9" 5
0 2 2 2 2 0 1 "Cm maj7 9 b13" 9
0 2 2 2 2 0 2 "Cm maj7 9 13" 9
0 2 2 2 2 1 0 "Cm maj7 9 11" 9
0 2 2 2 2 1 1 "Cm maj7 9 11 b13" 13
0 2 2 2 2 1 2 "Cm maj7 9 11 13" 13
0 2 2 2 2 2 0 "Cm maj7 9 #11" 9
0 2 2 2 2 2 1 "Cm maj7 9 #11 b13" 14
0 2 2 2 2 2 2 "Cm maj7 9 #11 13" 13
0 2 3 0 0 0 0 "Cm #5" 0
0 2 3 0 0 0 2 "Cm #5 13" 4
0 2 3 0 0 1 0 "Cm #5 11" 1
0 2 3 0 0 1 2 "Cm #5 11 13" 5
0 2 3 0 1 0 0 "Cm #5 b9" 3
0 2 3 0 1 0 2 "Cm #5 b9 13" 7
0 2 3 0 1 1 0 "Cm #5 b9 11" 4
0 2 3 0 1 1 2 "Cm #5 b9 11 13" 8
0 2 3 0 2 0 0 "Cm #5 9" 5
0 2 3 0 2 0 2 "Cm #5 9 13" 9
0 2 3 0 2 1 0 "Cm #5 9 11" 6
0 2 3 0 2 1 2 "Cm #5 9 11 13" 10
0 2 3 1 0 0 0 "Cm #5 7" 2
0 2 3 1 0 0 2 "Cm #5 7 13" 8
0 2 3 1 0 1 0 "Cm #5 7 11" 3
0 2 3 1 0 1 2 "Cm #5 7 11 13" 9
0 2 3 1 1 0 0 "Cm #5 7 b9" 5
0 2 3 1 1 0 2 "Cm #5 7 b9 13" 11
0 2 3 1 1 1 0 "Cm #5 7 b9 11" 6
0 2 3 1 1 1 2 "Cm #5 7 b9 11 13" 12
0 2 3 1 2 0 0 "Cm #5 7 9" 7
0 2 3 1 2 0 2 "Cm #5 7 9 13" 13
0 2 3 1 2 1 0 "Cm #5 7 9 11" 8
0 2 3 1 2 1 2 "Cm #5 7 9 11 13" 14
0 2 3 2 0 0 0 "Cm #5 maj7" 2
0 2 3 2 0 0 2 "Cm #5 maj7 13" 7
0 2 3 2 0 1 0 "Cm #5 maj7 11" 5
0 2 3 2 0 1 2 "Cm #5 maj7 11 13" 10
0 2 3 2 1 0 0 "Cm #5 maj7 b9" 6
0 2 3 2 1 0 2 "Cm #5 maj7 b9 13" 11
0 2 3 2 1 1 0 "Cm #5 maj7 b9 11" 9
0 2 3 2 1 1 2 "Cm #5 maj7 b9 11 13" 14
0 2 3 2 2 0 0 "Cm #5 maj7 9" 7
0 2 3 2 2 0 2 "Cm #5 maj7 9 13" 12
0 2 3 2 2 1 0 "Cm #5 maj7 9 11" 10
0 2 3 2 2 1 2 "Cm #5 maj7 9 11 13" 15
0 3 1 0 0 0 0 "C b5" 3
0 3 1 0 0 0 1 "C b5 b13" 4
0 3 1 0 0 0 2 "C b5 13" 3
0 3 1 0 0 1 0 "C b5 11" 7
0 3 1 0 0 1 1 "C b5 11 b13" 8
0 3 1 0 0 1 2 "C b5 11 13" 7
0 3 1 0 1 0 0 "C b5 b9" 5
0 3 1 0 1 0 1 "C b5 b9 b13" 6
0 3 1 0 1 0 2 "C b5 b9 13" 5
0 3 1 0 1 1 0 "C b5 b9 11" 9
0 3 1 0 1 1 1 "C b5 b9 11 b13" 10
0 3 1 0 1 1 2 "C b5 b9 11 13" 9
0 3 1 0 2 0 0 "C b5 9" 5
0 3 1 0 2 0 1 "C b5 9 b13" 8
0 3 1 0 2 0 2 "C b5 9 13" 5
0 3 1 0 2 1 0 "C b5 9 11" 9
0 3 1 0 2 1 1 "C b5 9 11 b13" 12
0 3 1 0 2 1 2 "C b5 9 11 13" 9
0 3 1 0 3 0 0 "C b5 #9" 5
0 3 1 0 3 0 1 "C b5 #9 b13" 6
0 3 1 0 3 0 2 "C b5 #9 13" 7
0 3 1 0 3 1 0 "C b5 #9 11" 10
0 3 1 0 3 1 1 "C b5 #9 11 b13" 11
0 3 1 0 3 1 2 "C b5 #9 11 13" 12
0 3 1 1 0 0 0 "C b5 7" 6
0 3 1 1 0 0 1 "C b5 7 b13" 8
0 3 1 1 0 0 2 "C b5 7 13" 8
0 3 1 1 0 1 0 "C b5 7 11" 10
0 3 1 1 0 1 1 "C b5 7 11 b13" 12
0 3 1 1 0 1 2 "C b5 7 11 13" 12
0 3 1 1 1 0 0 "C b5 7 b9" 8
0 3 1 1 1 0 1 "C b5 7 b9 b13" 10
0 3 1 1 1 0 2 "C b5 7 b9 13" 10
0 3 1 1 1 1 0 "C b5 7 b9 11" 12
0 3 1 1 1 1 1 "C b5 7 b9 11 b13" 14
0 3 1 1 1 1 2 "C b5 7 b9 11 13" 14
0 3 1 1 2 0 0 "C b5 7 9" 8
0 3 1 1 2 0 1 "C b5 7 9 b13" 12
0 3 1 1 2 0 2 "C b5 7 9 13" 10
0 3 1 1 2 1 0 "C b5 7 9 11" 12
0 3 1 1 2 1 1 "C b5 7 9 11 b13" 16
0 3 1 1 2 1 2 "C b5 7 9 11 13" 14
0 3 1 1 3 0 0 "C b5 7 #9" 8
0 3 1 1 3 0 1 "C b5 7 #9 b13" 10
0 3 1 1 3 0 2 "C b5 7 #9 13" 12
0 3 1 1 3 1 0 "C b5 7 #9 11" 13
0 3 1 1 3 1 1 "C b5 7 #9 11 b13" 15
0 3 1 1 3 1 2 "C b5 7 #9 11 13" 17
0 3 1 2 0 0 0 "C b5 maj7" 5
0 3 1 2 0 0 1 "C b5 maj7 b13" 6
0 3 1 2 0 0 2 "C b5 maj7 13" 6
0 3 1 2 0 1 0 "C b5 maj7 11" 11
0 3 1 2 0 1 1 "C b5 maj7 11 b13" 12
0 3 1 2 0 1 2 "C b5 maj7 11 13" 12
0 3 1 2 1 0 0 "C b5 maj7 b9" 8
0 3 1 2 1 0 1 "C b5 maj7 b9 b13" 9
0 3 1 2 1 0 2 "C b5 maj7 b9 13" 9
0 3 1 2 1 1 0 "C b5 maj7 b9 11" 14
0 3 1 2 1 1 1 "C b5 maj7 b9 11 b13" 15
0 3 1 2 1 1 2 "C b5 maj7 b9 11 13" 15
0 3 1 2 2 0 0 "C b5 maj7 9" 7
0 3 1 2 2 0 1 "C b5 maj7 9 b13" 10
0 3 1 2 2 0 2 "C b5 maj7 9 13" 8
0 3 1 2 2 1 0 "C b5 maj7 9 11" 13
0 3 1 2 2 1 1 "C b5 maj7 9 11 b13" 16
0 3 1 2 2 1 2 "C b5 maj7 9 11 13" 14
0 3 1 2 3 0 0 "C b5 maj7 #9" 7
0 3 1 2 3 0 1 "C b5 maj7 #9 b13" 8
0 3 1 2 3 0 2 "C b5 maj7 #9 13" 10
0 3 1 2 3 1 0 "C b5 maj7 #9 11" 14
0 3 1 2 3 1 1 "C b5 maj7 #9 11 b13" 15
0 3 1 2 3 1 2 "C b5 maj7 #9 11 13" 17
0 3 2 0 0 0 0 C 0
0 3 2 0 0 0 1 "C b13" 2
0 3 2 0 0 0 2 "C 13" 1
0 3 2 0 0 1 0 "C 11" 3
0 3 2 0 0 1 1 "C 11 b13" 5
0 3 2 0 0 1 2 "C 11 13" 4
0 3 2 0 0 2 0 "C #11" 5
0 3 2 0 0 2 1 "C #11 b13" 8
0 3 2 0 0 2 2 "C #11 13" 6
0 3 2 0 1 0 0 "C b9" 4
0 3 2 0 1 0 1 "C b9 b13" 6
0 3 2 0 1 0 2 "C b9 13" 5
0 3 2 0 1 1 0 "C b9 11" 7
0 3 2 0 1 1 1 "C b9 11 b13" 9
0 3 2 0 1 1 2 "C b9 11 13" 8
0 3 2 0 1 2 0 "C b9 #11" 9
0 3 2 0 1 2 1 "C b9 #11 b13" 12
